,Product,Unit Price,Category
192,SAMSUNG GALAXY A35 5G 6+128GB AWESOME LILAC,"272,90€",Smartphone & Cellulari
193,SAMSUNG GALAXY XCOVER7 5G  6+128GB BLACK,"359,90€",Smartphone & Cellulari
194,TCL 50SE 256 GB MIDNIGHT BLUE,"128,90€",Smartphone & Cellulari
195,TCL 50SE 256 GB SPACE GRAY,"127,90€",Smartphone & Cellulari
196,TCL 50SE 128 GB SPACE GRAY,"106,90€",Smartphone & Cellulari
197,TCL 50SE 128 GB MIDNIGHT BLUE,"106,90€",Smartphone & Cellulari
198,"MOTOROLA EDGE 50 PRO, 12/512GB, SNAPDRAGON 7 GEN 3, 50MP+13MP+10MP AI, IP68, 4500 MAH, CARICATORE 125W E COVER IN BOX","494,90€",Smartphone & Cellulari
199,TIM GALAXY A05S 4+128GB BLACK,"128,90€",Smartphone & Cellulari
200,TIM GALAXY A05S 4+128GB SILVER,"119,90€",Smartphone & Cellulari
201,TIM GALAXY A05S 4+128GB LIGHT GREEN,"128,90€",Smartphone & Cellulari
202,"MOTOROLA EDGE 50 FUSION, 12/512GB, SNAPDRAGON 7S GEN 2, 50MP+13MP, IP68, 5000 MAH, CARICATORE 68W E COVER IN BOX","349,90€",Smartphone & Cellulari
203,"MOTOROLA EDGE 50 FUSION, 12/512GB, SNAPDRAGON 7S GEN 2, 50MP+13MP, IP68, 5000 MAH, CARICATORE 68W E COVER IN BOX","349,90€",Smartphone & Cellulari
204,TCL 50 5G 4/128 SPACE GREY,"119,90€",Smartphone & Cellulari
205,TCL 50 5G 4/128 DARK BLUE,"119,90€",Smartphone & Cellulari
206,REALME - REALME 12 5G TWILIGHT PURPLE GLOBAL+NFC (256GB 8GB),"299,99€",Smartphone & Cellulari
207,REALME - REALME 12 5G TWILIGHT PURPLE GLOBAL+NFC (256GB 8GB),"179,00€",Smartphone & Cellulari
208,REALME - REALME 12+ 5G PIONEER GREEN (256GB 8GB),"217,90€",Smartphone & Cellulari
209,REALME - REALME 12+ 5G NAVIGATOR BEIGE (256GB 8GB),"216,90€",Smartphone & Cellulari
210,REALME - REALME 12+ 5G NAVIGATOR BEIGE (512GB 12GB),"480,90€",Smartphone & Cellulari
211,REALME - REALME 12+ 5G NAVIGATOR BEIGE (512GB 12GB),"479,90€",Smartphone & Cellulari
212,REALME - REALME 12X 5G FEATHER GREEN (256GB 8GB),"159,90€",Smartphone & Cellulari
213,REALME - REALME 12X 5G GLOWING BLACK (256GB 8GB),"273,90€",Smartphone & Cellulari
214,TIM REDMI A3 MIDNIGHT BLACK 4GB RAM 128GB ROM,"89,99€",Smartphone & Cellulari
215,"MOTOROLA MOTO G85 5G, 12/256GB, 50+8MP, SELFIE 32MP, DISPLAY 6,67"" POLED FHD+, 120HZ, 5000 MAH, QUALCOMM SNAPDRAGON 6S GEN 3","302,90€",Smartphone & Cellulari
216,"HONOR 200 LITE  SMARTP. 6.7""FHD+ 8GB 256GB 5G BLACK +EARBUDS X5","299,90€",Smartphone & Cellulari
217,BRONDI FEATURE PHONE CELLULARE FLIP GSM,"54,90€",Smartphone & Cellulari
218,BRONDI FEATURE PHONE CELLULARE FLIP GSM,"54,90€",Smartphone & Cellulari
219,BRONDI FEATURE PHONE CELLULARE FLIP GSM,"54,90€",Smartphone & Cellulari
220,"BRONDI AMICO SICURO PLUS  CELL. FLIP QB 2.8"" DUALSIM BT  + BRACCIALETTO  SOS NERO","85,90€",Smartphone & Cellulari
